fund_id,fund_name,parent_company,fund_size,greatstone_return_rating,greatstone_risk_rating,fund_ratio_net_annual_expense,10_years_return_mean_annual_fund,10_years_return_fund,3_years_return_mean_annual_fund,fund_return_3years,2012_fund_return,aaa_rating,10_years_beta_category,3_years_return_mean_annual_category,5_years_alpha_fund,10_years_alpha_fund,10yrs_sharpe_ratio_fund,3_years_alpha_fund,cash_percent_of_portfolio,10_years_beta_fund,10_years_return_mean_annual_category,5yrs_sharpe_ratio_fund,3yrs_sharpe_ratio_fund,2016_return_fund,2010_return_fund,yield,portfolio_energy_allocation,aa_rating,portfolio_property_allocation,5_years_return_mean_annual_fund,5_years_return_fund,portfolio_financial_services,stock_percent_of_portfolio,b_rating,portfolio_cyclical_consumer_allocation,2016_return_category,below_b_rating,2017_return_fund,return_ytd,ytd_return_fund,fund_return_3months,2014_return_fund,pb_ratio,1_year_return_fund,portfolio_tech_allocation,10years_fund_std,portfolio_healthcare_allocation,portfolio_others,2010_return_category,years_down,3_years_return_category,5_years_beta_category,2018_return_fund,greatstone_rating
00788be2-6047-4432-938b-7f8a69daa360,Principal Strategic Asset Management Balanced Portfolio R-3 Class,Principal Funds,Large,3.0,3.0,1.49,0.82,9.89,0.6,7.25,12.09,43.72,0.01,0.01,-0.39,-0.09,1.09,-0.99,12.66,1.05,0.01,0.64,0.92,6.04,12.79,1.66,6.07,9.17,8.44,0.43,5.06,19.49,51.82,5.5,11.08,7.34,1.95,14.44,8.67,8.67,8.67,6.01,2.26,3.61,15.55,8.6,10.97,0.08,11.83,3.0,7.44,0.01,-5.65,3
f05de4c8-a1dc-474e-8f9f-01b334041e22,Russell Investments LifePoints Growth Strategy Fund Class S,Russell,Large,2.0,2.0,1.1,0.84,9.95,0.63,7.54,13.68,42.88,0.01,0.01,-1.72,-2.5,0.87,-0.59,25.69,1.35,0.01,0.47,0.95,9.79,14.3,5.64,6.42,5.93,6.7,0.38,4.34,20.67,50.22,14.9,10.83,7.93,3.52,14.06,7.99,7.99,7.99,3.69,1.61,0.32,15.36,11.13,9.73,2.09,13.49,6.0,8.38,0.01,-7.39,2
47888f64-b139-49a3-bc3e-28a3724a2276,American Funds AMCAP Fund Class A,American Funds,Large,3.0,2.0,0.68,1.32,16.01,1.12,13.56,15.67,0.0,0.01,0.01,-0.48,-0.02,1.16,0.32,9.14,1.01,0.01,0.83,1.09,9.04,13.98,0.52,7.05,0.0,0.46,0.85,10.05,7.75,90.86,0.0,15.83,3.23,0.0,22.05,12.69,12.69,12.69,12.1,3.73,7.01,26.17,13.24,23.61,0.0,15.53,11.0,15.35,0.01,-1.91,3
96d0b7cb-5e41-4021-85ac-c2dfc3cd18bf,MainStay Cushing Renaissance Advantage Fund Investor Class,MainStay,Medium,2.0,4.0,1.7,,0.0,0.5,4.04,,0.0,0.01,0.01,-10.78,,,-8.5,8.5,,0.01,-0.12,0.23,29.77,,3.15,64.48,0.0,0.0,-0.14,-3.63,0.0,91.5,0.0,0.43,26.69,0.0,8.12,16.53,16.53,16.53,,1.41,-9.42,1.42,,0.0,0.0,,2.0,8.01,0.01,-28.81,2
d7147fbe-0aaf-4564-a216-4f236b6496e2,Nuveen Short Duration High Yield Municipal Bond Fund Class I,Nuveen,Small,3.0,1.0,0.61,,0.0,0.36,4.31,,1.16,0.01,0.0,1.63,,,1.78,1.14,,0.01,1.48,0.94,0.36,,3.76,0.0,2.88,0.0,0.4,4.89,0.0,0.0,10.83,0.0,0.9,4.72,8.11,3.04,3.04,3.04,10.06,0.0,6.57,0.0,,0.0,1.2,,,3.85,0.01,3.4,3
93983293-2015-41b7-8834-e6cba8660691,John Hancock Investment Grade Bond Fund Class R2,John Hancock,Medium,3.0,3.0,0.93,0.46,5.61,0.19,2.24,,56.05,0.01,0.0,0.04,1.83,1.52,0.26,6.11,0.99,0.0,0.68,0.35,2.72,,2.65,0.0,3.23,0.0,0.22,2.64,0.0,0.16,0.0,0.0,3.23,0.02,3.72,3.17,3.17,3.17,,0.0,4.05,0.0,3.32,0.0,0.0,,1.0,2.37,0.01,-0.54,3
c30675cf-a52c-4568-a834-6f06b0f3fe04,Goldman Sachs Mid Cap Value Fund Class R,Goldman Sachs,Medium,2.0,2.0,1.47,1.11,13.0,0.73,8.46,17.76,0.0,0.01,0.01,-5.78,-3.45,0.89,-4.04,2.27,1.07,0.01,0.36,0.66,12.58,24.06,0.17,6.34,0.0,14.19,0.43,4.52,16.35,97.73,0.0,9.32,14.14,0.0,10.41,14.63,14.63,14.63,12.97,2.02,3.63,8.3,14.36,7.22,0.0,22.52,3.0,9.67,0.01,-11.08,2
f7f1dbfc-1e78-4e6f-ac58-96d6d0c6d272,BlackRock LifePath Index 2045 Fund Class K Shares,BlackRock,Large,4.0,3.0,0.11,,0.0,0.86,10.4,15.61,76.29,0.02,0.01,-0.24,,,-1.03,1.97,,0.01,0.67,0.96,8.28,,2.32,5.04,2.4,16.25,0.63,7.34,15.47,93.73,0.0,10.22,7.93,0.0,21.07,12.42,12.42,12.42,7.1,1.9,5.03,15.94,,10.2,0.13,,2.0,9.92,0.01,-7.51,4
da8dca57-0120-48ba-8d4f-7b6cd2a7d2c8,MFS Limited Maturity Fund Class R2,MFS,Medium,3.0,3.0,0.98,0.18,2.22,0.12,1.39,3.23,21.21,0.0,0.0,-0.23,0.85,1.26,-0.07,3.66,0.28,0.0,0.21,0.12,1.19,3.67,2.03,0.0,16.98,0.0,0.08,0.96,0.0,0.0,0.01,0.0,2.08,0.27,1.21,1.77,1.77,1.77,0.5,0.0,2.76,0.0,1.38,0.0,0.0,4.11,2.0,1.87,0.0,0.74,3
1339d152-6a30-40bc-a016-a5819da0ae10,Voya Growth and Income Portfolio Class S,Voya,Large,2.0,2.0,0.83,1.16,13.88,0.99,12.11,15.47,0.0,0.01,0.01,-1.55,-1.53,1.06,0.53,0.84,0.98,0.01,0.75,1.16,9.45,13.81,1.54,4.55,0.0,3.25,0.72,8.35,13.84,99.16,0.0,10.57,10.37,0.0,20.06,11.46,11.46,11.46,10.43,2.99,8.25,23.92,12.65,15.78,0.0,14.01,4.0,11.84,0.01,-4.69,3
2ca7cf7a-7dab-4274-89d3-a6a8fe9b7721,American Beacon AHL Managed Futures Strategy Fund Investor Class,American Beacon,,4.0,3.0,1.92,,0.0,0.04,0.04,,0.0,0.01,0.0,,,,2.65,27.63,,0.0,,-0.09,-0.68,,0.91,0.0,0.0,0.0,,0.0,0.0,20.71,0.0,0.0,-2.75,0.0,4.78,-1.53,-1.53,-1.53,,0.0,2.06,0.0,,0.0,6.16,,2.0,-2.14,0.01,2.15,4
a9db2279-53b6-4f02-9cde-5ad80f36c5c1,AB Municipal Bond Inflation Strategy Class A,AllianceBernstein,Medium,4.0,5.0,0.75,,0.0,0.16,1.94,4.95,16.9,0.0,0.0,-0.71,,,-0.08,2.89,,0.0,0.31,0.28,1.47,,2.2,0.0,40.05,0.0,0.13,1.51,0.0,0.0,0.23,0.0,-0.15,0.13,3.22,2.89,2.89,2.89,1.17,0.0,2.64,0.0,,0.0,0.0,1.61,2.0,1.11,0.0,-0.51,4
3ca7ea95-be54-4f6d-bd12-89f2f4bda2c8,American Funds Developing World Growth and Income Fund Class F-3,American Funds,Large,2.0,2.0,0.89,,0.0,0.65,7.5,,0.0,0.01,0.01,-1.13,,,0.5,3.29,,0.01,0.09,0.6,,,2.35,3.26,0.0,4.26,0.16,1.19,23.08,94.99,0.0,12.9,,0.0,,9.59,9.59,9.59,,1.98,-7.4,15.61,,5.94,0.0,,1.0,9.11,0.01,-14.6,2
4e277845-53ec-457b-8733-e4b6be60342c,PIMCO All Asset All Authority D,Pimco,Large,2.0,3.0,0.58,0.33,3.52,0.25,2.71,17.32,,0.01,0.0,-6.2,-0.9,0.37,-3.18,,0.74,0.01,0.03,0.3,13.19,10.14,4.94,,,,0.05,0.24,,,,,5.99,,11.66,-0.67,-0.67,1.06,-2.76,,6.94,,9.69,,,10.53,4.0,5.78,0.01,,2
bebfc824-13b6-44ba-8b01-063c9f57cb05,Principal LargeCap Growth Fund I Class A,Principal Funds,Large,4.0,3.0,1.04,1.49,18.15,1.51,18.75,,0.0,0.01,0.01,1.75,0.63,1.17,3.93,2.11,1.1,0.01,0.98,1.32,0.4,,0.0,0.11,0.0,0.19,1.12,13.38,9.25,97.4,0.0,15.81,3.23,0.0,33.1,17.11,17.11,17.11,7.99,5.95,14.97,33.98,14.84,19.55,0.49,,,15.35,0.01,3.28,4
bf57ffdc-c6f8-458a-b919-3c2031773a12,TIAA-CREF Lifecycle 2010 Fund Advisor Class,TIAA Investments,Large,5.0,5.0,0.45,0.72,8.69,0.55,6.69,,51.82,0.01,0.0,0.4,0.48,1.17,0.2,2.42,0.85,0.01,0.77,1.11,6.19,,2.97,4.72,6.74,2.15,0.41,4.89,15.84,36.32,5.27,14.3,5.86,0.88,12.74,6.99,6.99,6.99,,2.32,3.13,22.68,6.97,12.59,5.4,,1.0,5.56,0.01,-3.94,5
79e6da94-1d86-47b0-9646-8f60dcc626f4,BrandywineGLOBAL - Global Opportunities Bond Fund Class R,Legg Mason,Medium,3.0,5.0,1.25,0.49,5.76,0.16,1.59,12.42,41.09,0.01,0.0,-2.24,0.91,0.71,-0.4,39.45,1.38,0.0,0.05,0.08,4.38,,2.71,0.0,2.18,0.0,0.1,0.9,0.0,0.0,0.82,0.0,3.63,0.0,12.02,2.79,2.79,2.79,5.54,0.0,-6.54,0.0,7.66,0.0,0.0,,3.0,2.17,0.01,-5.55,3
386c68b0-3dc3-4531-b281-27a45e7f4f7d,Otter Creek Long/Short Opportunity Fund Investor Class,Otter Creek,Large,2.0,2.0,2.55,,0.0,-0.11,-1.49,,0.0,0.01,0.0,1.35,,,-1.72,37.15,,0.01,0.15,-0.46,-0.08,,0.0,2.39,0.0,1.75,0.15,1.59,17.98,62.73,0.0,14.0,2.34,0.0,-3.76,-2.42,-2.42,-2.42,9.58,1.98,0.86,19.35,,9.81,0.0,,2.0,4.36,0.01,1.29,2
bb43634d-bcb9-4789-adb7-6f744819a3f4,Matthews China Small Companies Fund,Matthews Asia Funds,Medium,3.0,3.0,1.5,,0.0,1.36,15.73,10.53,0.0,0.01,0.01,6.49,,,7.5,13.76,,0.01,0.46,0.83,-2.35,,0.47,5.17,0.0,10.93,0.83,8.32,1.27,86.24,0.0,19.0,-2.06,0.0,53.88,17.75,17.75,17.75,-3.33,1.1,-8.96,24.87,,12.09,0.0,,3.0,11.65,0.01,-17.68,3
06966545-e04c-4bc4-aa8c-fc071d339cc2,American Century Real Estate Fund R5 Class,American Century Investments,Medium,4.0,3.0,0.95,1.54,18.14,0.5,5.35,,0.0,0.01,0.01,4.59,7.26,0.94,-1.53,0.0,0.91,0.01,0.59,0.37,,,2.66,0.0,0.0,98.71,0.75,8.38,0.0,100.0,0.0,0.0,,0.0,,15.8,15.8,15.8,,2.33,18.29,0.77,19.13,0.0,0.0,,1.0,6.0,0.01,-4.75,4
06fdff30-0fef-49e8-98b0-d002cc80ed8f,Pioneer Growth Opportunities Y,Pioneer Investments,Small,3.0,2.0,0.75,1.03,10.98,0.96,10.23,,0.0,0.01,0.01,3.55,1.68,0.55,-4.42,2.94,1.17,0.01,0.5,0.6,,,0.0,8.92,0.0,1.62,1.0,9.7,5.95,97.06,0.0,12.84,,0.0,,15.15,15.15,15.15,,2.35,8.49,19.16,19.3,22.57,0.0,,3.0,15.88,0.01,,3
a3a05f37-29df-4c42-a95d-40762d251e87,USAA Cornerstone Moderate Fund,USAA,Large,3.0,5.0,1.08,0.79,9.48,0.49,5.83,11.86,72.5,0.01,0.0,-1.58,-0.01,1.05,-1.35,2.21,1.0,0.01,0.43,0.82,4.85,13.51,2.01,7.85,1.82,7.26,0.28,3.23,18.36,44.87,0.67,10.94,6.62,0.92,13.4,6.89,6.89,6.89,4.52,1.62,1.25,12.14,8.53,9.4,0.16,10.03,6.0,5.53,0.01,-6.23,3
2ec1a359-72dc-41b4-8a65-8711b65924a5,"Morgan Stanley Institutional Fund, Inc. Inception Portfolio Class A",Morgan Stanley,Small,3.0,4.0,1.35,1.37,15.63,1.61,19.17,16.7,0.0,0.01,0.01,-5.88,-2.45,0.84,2.8,0.3,1.21,0.01,0.36,0.99,-0.73,26.86,0.0,0.0,0.0,1.45,0.65,6.08,5.71,92.75,0.0,11.97,11.2,0.0,21.57,30.47,30.47,30.47,-9.98,2.37,27.1,56.33,19.01,16.33,1.64,26.98,8.0,15.88,0.01,0.02,2
cd47d40c-c5b9-4491-8e4d-31faf2709d0f,Hennessy Cornerstone Mid Cap 30 Fund Investor Class,Hennessy,Medium,2.0,4.0,1.31,1.14,13.3,0.26,2.06,14.1,0.0,0.01,0.01,-6.12,-1.65,0.89,-11.5,3.08,0.98,0.01,0.28,0.12,5.82,27.26,0.0,8.01,0.0,0.0,0.4,3.88,6.77,96.92,0.0,21.06,14.14,0.0,20.51,12.02,12.02,12.02,16.44,2.02,-7.04,5.72,14.83,3.73,0.0,22.52,2.0,9.67,0.01,-22.78,2
b5df43b6-5987-49d0-9a16-78f88c8d5a2d,Oppenheimer Rochester AMT-Free Municipals Fund Class A,OppenheimerFunds,Small,5.0,5.0,1.04,0.83,10.03,0.5,6.08,18.97,2.3,0.01,0.0,2.97,1.91,1.13,3.35,0.16,1.79,0.01,1.4,1.03,2.51,0.3,3.61,0.0,27.12,0.0,0.56,6.8,0.0,0.0,2.18,0.0,0.9,5.45,5.96,4.55,4.55,4.55,15.64,0.0,9.65,0.0,8.42,0.0,0.0,3.77,10.0,3.85,0.01,7.42,5
d00d540a-0d07-4cfb-9912-d854fca89594,Voya Global Equity Dividend Fund Class C,Voya,Large,1.0,2.0,2.01,0.79,8.93,0.54,6.23,13.35,0.0,0.01,0.01,-0.05,1.62,0.68,-0.5,4.28,0.79,0.01,0.18,0.54,8.01,7.63,1.2,8.54,0.0,0.0,0.24,2.25,18.51,95.72,0.0,10.09,5.54,0.0,16.51,9.34,9.34,9.34,0.39,1.34,-1.5,16.57,13.1,13.15,0.0,13.74,4.0,9.96,0.01,-12.72,2
ba72a28f-1d43-4896-8ca9-235b2d9c87a8,CIBC Atlas Equity Income Fund Institutional Class,CIBC Private Wealth Management,Large,1.0,1.0,1.1,,0.0,1.07,13.03,7.22,0.0,0.01,0.01,-2.98,,,0.84,2.78,,0.01,0.61,1.17,7.8,,1.0,6.19,0.0,6.13,0.64,7.28,17.11,97.22,0.0,9.38,3.23,0.0,20.62,11.79,11.79,11.79,9.57,3.51,12.06,17.38,,22.31,0.0,15.53,2.0,15.35,0.01,-1.78,1
288cadbc-dc8d-4269-8c5c-23210dde177f,JPMorgan Intrepid Mid Cap Fund Class C,JPMorgan,Medium,3.0,2.0,1.64,1.2,14.18,0.72,8.18,15.15,0.0,0.01,0.01,-4.99,-2.9,0.95,-5.72,2.73,1.11,0.01,0.47,0.61,11.09,18.3,0.15,3.54,0.0,9.54,0.55,5.98,11.3,97.27,0.0,13.24,14.14,0.0,16.03,13.84,13.84,13.84,14.6,2.06,0.61,18.68,14.63,10.71,0.0,22.52,6.0,9.67,0.01,-12.27,3
acb0a491-a014-4bf7-bb4c-dd29425833a5,Catalyst/Exceed Defined Risk Fund Class A,Catalyst Mutual Funds,,2.0,3.0,1.57,,0.0,0.48,5.59,,0.0,0.0,0.0,-4.62,,,-3.04,10.15,,0.0,0.34,0.54,1.33,,0.27,0.0,0.0,0.0,0.38,4.01,0.0,1.86,0.0,0.0,5.45,0.0,8.2,9.23,9.23,9.23,20.03,0.0,6.1,0.0,,0.0,0.0,,2.0,4.93,0.0,-3.65,2
4ce8a95b-01ba-4b57-a9fe-75b2425e8771,Schwab Tax-Free Bond Fund,Schwab Funds,Medium,3.0,3.0,0.49,0.34,4.07,0.16,1.94,5.54,9.67,0.01,0.0,-0.51,0.1,1.14,-0.59,1.07,0.82,0.0,0.77,0.23,-0.36,3.32,2.38,0.0,52.7,0.0,0.24,2.89,0.0,0.0,0.0,0.0,-0.2,0.0,4.4,2.44,2.44,2.44,6.54,0.0,4.32,0.0,3.14,0.0,0.0,2.22,4.0,2.09,0.01,0.87,3
ec341840-98fa-45a7-a5d6-ea8a341c19b6,PIMCO Long Duration Total Return Fund Class C,PIMCO,Large,2.0,4.0,2.15,0.56,6.63,0.34,3.87,,0.0,0.02,0.0,-0.86,-2.21,0.79,0.9,30.99,2.58,0.01,0.54,0.37,,,2.56,0.0,0.0,0.0,0.41,4.73,100.0,0.0,0.0,0.0,,0.0,,6.21,6.21,6.21,,0.5,4.53,0.0,7.94,0.0,0.85,,,4.26,0.02,,2
c5329ee3-bb82-4809-ac60-69456af0ba1d,Saratoga Large Capitalization Value Fund Class Institutional,Saratoga,Medium,1.0,5.0,1.22,1.04,11.66,0.55,5.62,17.63,0.0,0.01,0.01,-9.73,-6.26,0.73,-10.18,2.23,1.2,0.01,0.19,0.35,9.16,14.68,0.33,0.0,0.0,0.0,0.32,2.62,10.55,97.77,0.0,46.25,10.37,0.0,8.66,16.84,16.84,16.84,11.88,1.88,2.82,14.89,16.48,4.56,0.0,14.01,7.0,11.84,0.01,-17.55,1
a4ad094e-6810-498f-94d2-ebdea4d38437,Voya Global Diversified Payment Fund Class R6,Voya,Large,3.0,2.0,0.99,0.73,8.74,0.44,5.27,,42.67,0.01,0.01,-1.16,-1.22,0.94,-1.99,4.23,1.06,0.01,0.5,0.71,,,6.15,5.78,4.62,7.14,0.32,3.7,16.34,56.69,18.82,12.25,,2.47,,6.93,6.93,6.93,,1.78,0.74,14.8,8.83,9.83,0.04,,,6.14,0.01,,4
39b9eb0f-acb9-4838-8507-5c0062f38a10,Great-West S&P Small Cap 600 Index Fund Class L,Great-West Funds,Small,4.0,3.0,0.81,1.37,16.07,1.04,11.7,15.51,0.0,0.01,0.01,-3.82,-1.99,0.93,-3.78,3.19,1.18,0.01,0.49,0.68,25.43,,0.58,2.98,0.0,7.79,0.72,7.61,17.68,96.81,0.0,13.93,20.78,0.0,12.52,11.37,11.37,11.37,4.93,1.73,0.77,16.25,17.23,10.32,0.0,,2.0,10.17,0.01,-9.21,4
20db84cb-7595-44d3-8556-948199f5f228,MFS Blended Research International Equity Fund Class R2,MFS,Large,3.0,3.0,1.14,,0.0,0.57,6.45,,0.0,0.01,0.01,,,,-1.45,1.95,,0.01,,0.51,1.17,,2.18,7.07,0.0,3.43,,0.0,21.26,98.0,0.0,12.79,0.79,0.0,26.43,9.63,9.63,9.63,,1.22,-8.5,12.81,,8.72,0.05,,1.0,6.62,0.01,-15.99,3
533ff5e0-c152-4847-85eb-290fe8971e71,Sterling Capital West Virginia Intermediate Tax-Free Fund C Shares,Sterling Capital Funds,Medium,1.0,2.0,1.55,0.2,2.4,0.06,0.69,,8.56,0.01,0.0,-1.54,-1.31,0.66,-1.69,2.04,0.77,0.0,0.32,-0.21,-0.76,,1.43,0.0,58.75,0.0,0.13,1.57,0.0,0.0,0.0,0.0,-0.28,0.0,2.4,1.92,1.92,1.92,4.37,0.0,2.98,0.0,2.97,0.0,0.0,,3.0,1.62,0.01,-0.23,1
95781306-ea34-47be-9398-84841ca34c49,Fidelity Advisor Technology Fund Class M,Fidelity Investments,Large,4.0,3.0,1.31,1.73,20.96,1.84,22.87,16.34,0.0,0.01,0.02,8.18,7.05,1.13,8.8,0.11,1.12,0.02,0.98,1.28,11.52,26.0,0.0,0.0,0.0,0.0,1.37,16.22,11.84,98.35,0.0,4.67,10.84,0.0,48.95,20.17,20.17,20.17,10.21,6.73,4.62,78.43,18.04,0.03,0.41,20.0,7.0,21.78,0.01,-8.01,4
f8fec6ab-65ff-4090-b10e-512698a08a5a,MFS Global Total Return Fund Class R4,MFS,Large,3.0,2.0,0.84,0.72,8.58,0.47,5.56,11.24,52.26,0.01,0.01,-0.95,-0.76,0.97,-2.2,3.34,0.99,0.01,0.53,0.67,5.6,8.17,1.66,5.22,6.77,2.54,0.36,4.2,17.87,59.26,0.0,6.17,6.04,0.08,15.46,7.59,7.59,7.59,3.67,2.18,0.69,11.63,8.4,14.56,0.0,10.58,3.0,6.14,0.01,-6.98,3
75e627fb-d37c-452b-8830-b0c681162ddc,Dimensional 2060 Target Date Retirement Income Fund Institutional Class,Dimensional Fund Advisors,Large,4.0,4.0,0.26,,0.0,0.89,10.65,,28.82,0.0,0.0,,,,-1.09,2.36,,0.0,,0.95,9.68,,2.04,5.99,44.14,1.93,,0.0,16.91,92.96,0.0,13.73,7.81,0.0,22.68,11.72,11.72,11.72,,1.94,2.1,17.34,,11.18,0.09,,1.0,4.94,0.01,-9.07,3
2d5a71c0-34aa-4a18-933e-f4b59e7226a9,Aquila Tax-Free Fund For Utah Class Y,Aquila,Medium,5.0,4.0,0.65,0.41,4.91,0.18,2.17,7.32,21.51,0.01,0.0,0.04,0.65,1.31,-0.38,2.57,0.89,0.0,0.97,0.29,0.39,3.0,2.67,0.0,50.36,0.0,0.29,3.51,0.0,0.0,0.0,0.0,-0.28,0.0,4.57,2.34,2.34,2.34,9.28,0.0,4.46,0.0,3.35,0.0,0.0,1.65,3.0,1.62,0.01,0.89,5
27ada3bf-b926-4631-a3e0-64f3aab51043,Columbia Small Cap Value Fund I Class R,Columbia,Small,4.0,4.0,1.57,1.15,12.91,0.94,10.16,10.84,0.0,0.01,0.01,-6.49,-4.96,0.74,-5.35,0.02,1.2,0.01,0.33,0.56,32.01,,0.14,5.92,0.0,7.64,0.54,5.15,35.95,99.98,0.0,10.72,25.99,0.0,13.61,12.32,12.32,12.32,2.59,1.23,-4.32,11.69,17.9,3.82,0.0,26.17,3.0,8.3,0.01,-18.51,3
